text,id
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 no município Ceará ', 'O valor do Matrícula em distorção no ensino fundamental: no município Ceará 345205.0 ']",1
"['Qual o Matrícula em distorção no ensino médio na cidade Ceará em 2007 ', 'O Matrícula em distorção no ensino médio na cidade Ceará é 345205.0 ']",2
"['Qual do nível do Matrícula em distorção no ensino fundamental em 2007 na cidade Abaiara ', 'O nível do Matrícula em distorção no ensino fundamental na cidade Abaiara é: 243.0 ']",3
"['Quantidade no Matrícula em distorção no ensino médio na cidade Abaiara em 2007 ', 'A quantidade do  Matrícula em distorção no ensino médio: na cidade Abaiara 243.0 ']",4
"['Quais os números Matrícula em distorção no ensino fundamental na unidade geográfica Acarape em 2007 ', 'Os números do Matrícula em distorção no ensino fundamental são: na unidade geográfica Acarape 608.0']",5
"['Número do Matrícula em distorção no ensino médio  em 2007 no município Acarape ', 'Número do Matrícula em distorção no ensino médio no município Acarape 608.0 ']",6
"['Qual o Matrícula em distorção no ensino fundamental no município Acaraú em 2007 ', 'O Matrícula em distorção no ensino fundamental no município Acaraú é 2439.0 ']",7
"['Qual do nível do Matrícula em distorção no ensino médio em 2007 na unidade geográfica Acaraú ', 'O nível do Matrícula em distorção no ensino médio na unidade geográfica Acaraú é: 2439.0 ']",8
"['Qual do nível do Matrícula em distorção no ensino fundamental em 2007 no município Acopiara ', 'O nível do Matrícula em distorção no ensino fundamental no município Acopiara é: 2111.0 ']",9
"['Qual do nível do Matrícula em distorção no ensino médio em 2007 na cidade Acopiara ', 'O nível do Matrícula em distorção no ensino médio na cidade Acopiara é: 2111.0 ']",10
"['Qual do nível do Matrícula em distorção no ensino fundamental em 2007 na unidade geográfica Aiuaba ', 'O nível do Matrícula em distorção no ensino fundamental na unidade geográfica Aiuaba é: 957.0 ']",11
"['Qual do valor do Matrícula em distorção no ensino médio  em 2007 no município Aiuaba ', 'O valor do Matrícula em distorção no ensino médio: no município Aiuaba 957.0 ']",12
"['Quantidade no Matrícula em distorção no ensino fundamental na cidade Alcântaras em 2007 ', 'A quantidade do  Matrícula em distorção no ensino fundamental: na cidade Alcântaras 775.0 ']",13
"['Quais os números Matrícula em distorção no ensino médio na cidade Alcântaras em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: na cidade Alcântaras 775.0']",14
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 na unidade geográfica Altaneira ', 'O valor do Matrícula em distorção no ensino fundamental: na unidade geográfica Altaneira 224.0 ']",15
"['Qual o Matrícula em distorção no ensino médio no município Altaneira em 2007 ', 'O Matrícula em distorção no ensino médio no município Altaneira é 224.0 ']",16
"['Qual do valor do Matrícula em distorção no ensino fundamental  em 2007 no município Alto Santo ', 'O valor do Matrícula em distorção no ensino fundamental: no município Alto Santo 937.0 ']",17
"['Quais os números Matrícula em distorção no ensino médio na cidade Alto Santo em 2007 ', 'Os números do Matrícula em distorção no ensino médio são: na cidade Alto Santo 937.0']",18
"['Número do Matrícula em distorção no ensino fundamental  em 2007 na unidade geográfica Amontada ', 'Número do Matrícula em distorção no ensino fundamental na unidade geográfica Amontada 2342.0 ']",19
"['Qual do nível do Matrícula em distorção no ensino médio em 2007 na unidade geográfica Amontada ', 'O nível do Matrícula em distorção no ensino médio na unidade geográfica Amontada é: 2342.0 ']",20
"['Número do Matrícula em distorção no ensino fundamental  em 2007 no município Antonina do Norte ', 'Número do Matrícula em distorção no ensino fundamental no município Antonina do Norte 416.0 ']",21
"['Qual do valor do Matrícula em distorção no ensino médio  em 2007 na cidade Antonina do Norte ', 'O valor do Matrícula em distorção no ensino médio: na cidade Antonina do Norte 416.0 ']",22
