"indicador","ano","município","valor"
"Matrícula em distorção no ensino fundamental","2007","Ceará","345205"
"Matrícula em distorção no ensino fundamental","2007","Abaiara","243"
"Matrícula em distorção no ensino fundamental","2007","Acarape","608"
"Matrícula em distorção no ensino fundamental","2007","Acaraú","2439"
"Matrícula em distorção no ensino fundamental","2007","Acopiara","2111"
"Matrícula em distorção no ensino fundamental","2007","Aiuaba","957"
"Matrícula em distorção no ensino fundamental","2007","Alcântaras","775"
"Matrícula em distorção no ensino fundamental","2007","Altaneira","224"
"Matrícula em distorção no ensino fundamental","2007","Alto Santo","937"
"Matrícula em distorção no ensino fundamental","2007","Amontada","2342"
"Matrícula em distorção no ensino fundamental","2007","Antonina do Norte","416"
"Matrícula em distorção no ensino fundamental","2007","Apuiarés","467"
"Matrícula em distorção no ensino fundamental","2007","Aquiraz","3372"
"Matrícula em distorção no ensino fundamental","2007","Aracati","1695"
"Matrícula em distorção no ensino fundamental","2007","Aracoiaba","1063"
"Matrícula em distorção no ensino fundamental","2007","Ararendá","573"
"Matrícula em distorção no ensino fundamental","2007","Araripe","1958"
"Matrícula em distorção no ensino fundamental","2007","Aratuba","410"
"Matrícula em distorção no ensino fundamental","2007","Arneiroz","226"
"Matrícula em distorção no ensino fundamental","2007","Assaré","1519"
"Matrícula em distorção no ensino fundamental","2007","Aurora","1577"
"Matrícula em distorção no ensino fundamental","2007","Baixio","362"
"Matrícula em distorção no ensino fundamental","2007","Banabuiú","930"
"Matrícula em distorção no ensino fundamental","2007","Barbalha","2059"
"Matrícula em distorção no ensino fundamental","2007","Barreira","885"
"Matrícula em distorção no ensino fundamental","2007","Barro","983"
"Matrícula em distorção no ensino fundamental","2007","Barroquinha","854"
"Matrícula em distorção no ensino fundamental","2007","Baturité","1591"
"Matrícula em distorção no ensino fundamental","2007","Beberibe","2046"
"Matrícula em distorção no ensino fundamental","2007","Bela Cruz","886"
"Matrícula em distorção no ensino fundamental","2007","Boa Viagem","3074"
"Matrícula em distorção no ensino fundamental","2007","Brejo Santo","2108"
"Matrícula em distorção no ensino fundamental","2007","Camocim","1539"
"Matrícula em distorção no ensino fundamental","2007","Campos Sales","1506"
"Matrícula em distorção no ensino fundamental","2007","Canindé","4314"
"Matrícula em distorção no ensino fundamental","2007","Capistrano","575"
"Matrícula em distorção no ensino fundamental","2007","Caridade","1401"
"Matrícula em distorção no ensino fundamental","2007","Cariré","917"
"Matrícula em distorção no ensino fundamental","2007","Caririaçu","1956"
"Matrícula em distorção no ensino fundamental","2007","Cariús","563"
"Matrícula em distorção no ensino fundamental","2007","Carnaubal","547"
"Matrícula em distorção no ensino fundamental","2007","Cascavel","2689"
"Matrícula em distorção no ensino fundamental","2007","Catarina","414"
"Matrícula em distorção no ensino fundamental","2007","Catunda","430"
"Matrícula em distorção no ensino fundamental","2007","Caucaia","13231"
"Matrícula em distorção no ensino fundamental","2007","Cedro","1005"
"Matrícula em distorção no ensino fundamental","2007","Chaval","634"
"Matrícula em distorção no ensino fundamental","2007","Choró","784"
"Matrícula em distorção no ensino fundamental","2007","Chorozinho","1248"
"Matrícula em distorção no ensino fundamental","2007","Coreaú","865"
"Matrícula em distorção no ensino fundamental","2007","Crateús","3279"
"Matrícula em distorção no ensino fundamental","2007","Crato","4705"
"Matrícula em distorção no ensino fundamental","2007","Croatá","102"
"Matrícula em distorção no ensino fundamental","2007","Cruz","818"
"Matrícula em distorção no ensino fundamental","2007","Deputado Irapuan Pinheiro","297"
"Matrícula em distorção no ensino fundamental","2007","Ereré","325"
"Matrícula em distorção no ensino fundamental","2007","Eusébio","1397"
"Matrícula em distorção no ensino fundamental","2007","Farias Brito","712"
"Matrícula em distorção no ensino fundamental","2007","Forquilha","714"
"Matrícula em distorção no ensino fundamental","2007","Fortaleza","82919"
"Matrícula em distorção no ensino fundamental","2007","Fortim","557"
"Matrícula em distorção no ensino fundamental","2007","Frecheirinha","625"
"Matrícula em distorção no ensino fundamental","2007","General Sampaio","504"
"Matrícula em distorção no ensino fundamental","2007","Graça","980"
"Matrícula em distorção no ensino fundamental","2007","Granja","2611"
"Matrícula em distorção no ensino fundamental","2007","Granjeiro","481"
"Matrícula em distorção no ensino fundamental","2007","Groaíras","600"
"Matrícula em distorção no ensino fundamental","2007","Guaiúba","1045"
"Matrícula em distorção no ensino fundamental","2007","Guaraciaba do Norte","2067"
"Matrícula em distorção no ensino fundamental","2007","Guaramiranga","198"
"Matrícula em distorção no ensino fundamental","2007","Hidrolândia","1305"
"Matrícula em distorção no ensino fundamental","2007","Horizonte","2421"
"Matrícula em distorção no ensino fundamental","2007","Ibaretama","679"
"Matrícula em distorção no ensino fundamental","2007","Ibiapina","1457"
"Matrícula em distorção no ensino fundamental","2007","Ibicuitinga","556"
"Matrícula em distorção no ensino fundamental","2007","Icapuí","1051"
"Matrícula em distorção no ensino fundamental","2007","Icó","3295"
"Matrícula em distorção no ensino fundamental","2007","Iguatu","2831"
"Matrícula em distorção no ensino fundamental","2007","Independência","781"
"Matrícula em distorção no ensino fundamental","2007","Ipaporanga","411"
"Matrícula em distorção no ensino fundamental","2007","Ipaumirim","763"
"Matrícula em distorção no ensino fundamental","2007","Ipu","2314"
"Matrícula em distorção no ensino fundamental","2007","Ipueiras","2650"
"Matrícula em distorção no ensino fundamental","2007","Iracema","421"
"Matrícula em distorção no ensino fundamental","2007","Irauçuba","1111"
"Matrícula em distorção no ensino fundamental","2007","Itaiçaba","171"
"Matrícula em distorção no ensino fundamental","2007","Itaitinga","2026"
"Matrícula em distorção no ensino fundamental","2007","Itapajé","2390"
"Matrícula em distorção no ensino fundamental","2007","Itapipoca","4586"
"Matrícula em distorção no ensino fundamental","2007","Itapiúna","806"
"Matrícula em distorção no ensino fundamental","2007","Itarema","1280"
"Matrícula em distorção no ensino fundamental","2007","Itatira","1908"
"Matrícula em distorção no ensino fundamental","2007","Jaguaretama","1132"
"Matrícula em distorção no ensino fundamental","2007","Jaguaribara","384"
"Matrícula em distorção no ensino fundamental","2007","Jaguaribe","1955"
"Matrícula em distorção no ensino fundamental","2007","Jaguaruana","1242"
"Matrícula em distorção no ensino fundamental","2007","Jardim","1393"
"Matrícula em distorção no ensino fundamental","2007","Jati","175"
"Matrícula em distorção no ensino fundamental","2007","Jijoca de Jericoacoara","378"
"Matrícula em distorção no ensino fundamental","2007","Juazeiro do Norte","8773"
"Matrícula em distorção no ensino fundamental","2007","Jucás","731"
"Matrícula em distorção no ensino fundamental","2007","Lavras da Mangabeira","1955"
"Matrícula em distorção no ensino fundamental","2007","Limoeiro do Norte","1258"
"Matrícula em distorção no ensino fundamental","2007","Madalena","986"
"Matrícula em distorção no ensino fundamental","2007","Maracanaú","7561"
"Matrícula em distorção no ensino fundamental","2007","Maranguape","2481"
"Matrícula em distorção no ensino fundamental","2007","Marco","1482"
"Matrícula em distorção no ensino fundamental","2007","Martinópole","607"
"Matrícula em distorção no ensino fundamental","2007","Massapê","2642"
"Matrícula em distorção no ensino fundamental","2007","Mauriti","2826"
"Matrícula em distorção no ensino fundamental","2007","Meruoca","831"
"Matrícula em distorção no ensino fundamental","2007","Milagres","1454"
"Matrícula em distorção no ensino fundamental","2007","Milhã","497"
"Matrícula em distorção no ensino fundamental","2007","Miraíma","724"
"Matrícula em distorção no ensino fundamental","2007","Missão Velha","1457"
"Matrícula em distorção no ensino fundamental","2007","Mombaça","2211"
"Matrícula em distorção no ensino fundamental","2007","Monsenhor Tabosa","1092"
"Matrícula em distorção no ensino fundamental","2007","Morada Nova","3056"
"Matrícula em distorção no ensino fundamental","2007","Moraújo","770"
"Matrícula em distorção no ensino fundamental","2007","Morrinhos","624"
"Matrícula em distorção no ensino fundamental","2007","Mucambo","723"
"Matrícula em distorção no ensino fundamental","2007","Mulungu","474"
"Matrícula em distorção no ensino fundamental","2007","Nova Olinda","650"
"Matrícula em distorção no ensino fundamental","2007","Nova Russas","1802"
"Matrícula em distorção no ensino fundamental","2007","Novo Oriente","995"
"Matrícula em distorção no ensino fundamental","2007","Ocara","1259"
"Matrícula em distorção no ensino fundamental","2007","Orós","960"
"Matrícula em distorção no ensino fundamental","2007","Pacajus","2982"
"Matrícula em distorção no ensino fundamental","2007","Pacatuba","1662"
"Matrícula em distorção no ensino fundamental","2007","Pacoti","658"
"Matrícula em distorção no ensino fundamental","2007","Pacujá","317"
"Matrícula em distorção no ensino fundamental","2007","Palhano","250"
"Matrícula em distorção no ensino fundamental","2007","Palmácia","371"
"Matrícula em distorção no ensino fundamental","2007","Paracuru","1543"
"Matrícula em distorção no ensino fundamental","2007","Paraipaba","1129"
"Matrícula em distorção no ensino fundamental","2007","Parambu","1107"
"Matrícula em distorção no ensino fundamental","2007","Paramoti","714"
"Matrícula em distorção no ensino fundamental","2007","Pedra Branca","1556"
"Matrícula em distorção no ensino fundamental","2007","Penaforte","410"
"Matrícula em distorção no ensino fundamental","2007","Pentecoste","1223"
"Matrícula em distorção no ensino fundamental","2007","Pereiro","840"
"Matrícula em distorção no ensino fundamental","2007","Pindoretama","641"
"Matrícula em distorção no ensino fundamental","2007","Piquet Carneiro","436"
"Matrícula em distorção no ensino fundamental","2007","Pires Ferreira","529"
"Matrícula em distorção no ensino fundamental","2007","Poranga","805"
"Matrícula em distorção no ensino fundamental","2007","Porteiras","854"
"Matrícula em distorção no ensino fundamental","2007","Potengi","838"
"Matrícula em distorção no ensino fundamental","2007","Potiretama","323"
"Matrícula em distorção no ensino fundamental","2007","Quiterianópolis","737"
"Matrícula em distorção no ensino fundamental","2007","Quixadá","2108"
"Matrícula em distorção no ensino fundamental","2007","Quixelô","379"
"Matrícula em distorção no ensino fundamental","2007","Quixeramobim","3411"
"Matrícula em distorção no ensino fundamental","2007","Quixeré","682"
"Matrícula em distorção no ensino fundamental","2007","Redenção","1221"
"Matrícula em distorção no ensino fundamental","2007","Reriutaba","1094"
"Matrícula em distorção no ensino fundamental","2007","Russas","2099"
"Matrícula em distorção no ensino fundamental","2007","Saboeiro","1044"
"Matrícula em distorção no ensino fundamental","2007","Salitre","1442"
"Matrícula em distorção no ensino fundamental","2007","Santa Quitéria","2734"
"Matrícula em distorção no ensino fundamental","2007","Santana do Acaraú","2500"
"Matrícula em distorção no ensino fundamental","2007","Santana do Cariri","793"
"Matrícula em distorção no ensino fundamental","2007","São Benedito","2993"
"Matrícula em distorção no ensino fundamental","2007","São Gonçalo do Amarante","1214"
"Matrícula em distorção no ensino fundamental","2007","São João do Jaguaribe","362"
"Matrícula em distorção no ensino fundamental","2007","São Luís do Curu","462"
"Matrícula em distorção no ensino fundamental","2007","Senador Pompeu","759"
